"id";"requisito";"criterio";"fuenteP14";"comprobacionAstra";"revision";"pruebaBackend";"pruebaFrontend"
"RF01-C01";"RF-01";"El Administrador gestiona datos maestros de la flota";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-02: offsets ISO; backend/jornadas y UI local";"fleet.test.ts, fleet-catalog.test.ts";"Fleet.test.tsx, FleetCatalogs.test.tsx"
"RF01-C02";"RF-01";"El Despachador programa o ajusta jornadas";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-02: offsets ISO; backend/jornadas y UI local";"journey.test.ts";"Journeys.test.tsx"
"RF01-C03";"RF-01";"Un conductor no puede tener jornadas superpuestas";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-02: offsets ISO; backend/jornadas y UI local";"journey.test.ts, p12-concurrency.test.ts";"Journeys.test.tsx"
"RF01-C04";"RF-01";"Un bus no puede tener jornadas superpuestas";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-02: offsets ISO; backend/jornadas y UI local";"journey.test.ts, p12-concurrency.test.ts";"Journeys.test.tsx"
"RF01-C05";"RF-01";"No se inicia una jornada con bus no disponible";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-02: offsets ISO; backend/jornadas y UI local";"journey.test.ts, preventive-availability-alerts.test.ts";"Journeys.test.tsx"
"RF01-C06";"RF-01";"Toda reasignación conserva responsable, fecha y motivo";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-02: offsets ISO; backend/jornadas y UI local";"journey.test.ts";"Journeys.test.tsx"
"RF01-C07";"RF-01";"El kilometraje final no puede ser inferior al inicial";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-02: offsets ISO; backend/jornadas y UI local";"journey.test.ts, p12-concurrency.test.ts";"Journeys.test.tsx"
"RF01-C08";"RF-01";"El Conductor solo consulta su propia jornada";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-02: offsets ISO; backend/jornadas y UI local";"journey.test.ts, p12-security.test.ts";"Journeys.test.tsx"
"RF01-C09";"RF-01";"El backend no confía en un busId libre del Conductor";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-02: offsets ISO; backend/jornadas y UI local";"fleet.test.ts, journey.test.ts, p12-security.test.ts";"Fleet.test.tsx, Journeys.test.tsx"
"RF02-C01";"RF-02";"Jornada, conductor y bus se derivan de sesión y turno vigente";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"novelty.test.ts, p12-security.test.ts";"Novelties.test.tsx"
"RF02-C02";"RF-02";"La novedad conserva fecha, tipo, descripción, estado, kilometraje y relación operacional";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"novelty.test.ts";"Novelties.test.tsx"
"RF02-C03";"RF-02";"El Conductor no reporta sobre buses ajenos";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"novelty.test.ts, p12-security.test.ts";"Novelties.test.tsx"
"RF02-C04";"RF-02";"El sistema no incentiva uso mientras se conduce";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"No aplica";"Novelties.test.tsx"
"RF02-C05";"RF-02";"Novedad crítica puede alertar y bloquear disponibilidad";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"novelty.test.ts, alerts.test.ts";"Novelties.test.tsx, AlertsPage.test.tsx"
"RF02-C06";"RF-02";"Despachador reacciona operacionalmente pero no cierra técnicamente";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"novelty.test.ts";"Novelties.test.tsx"
"RF02-C07";"RF-02";"La orden conserva la relación jornada-novedad-orden";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"novelty.test.ts, work-order.test.ts";"Novelties.test.tsx, WorkOrders.test.tsx"
"RF03-C01";"RF-03";"Cada plan identifica destino, componente, actividad, intervalo y prioridad";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"preventive-plan.test.ts";"PreventiveMaintenance.test.tsx"
"RF03-C02";"RF-03";"El sistema evalúa umbrales por fecha y kilometraje";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"preventive.test.ts, preventive-cycle.test.ts";"PreventiveMaintenance.test.tsx"
"RF03-C03";"RF-03";"El cierre preventivo calcula siguiente objetivo cuando hay intervalo";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"preventive-cycle.test.ts, p12-concurrency.test.ts";"WorkOrders.test.tsx"
"RF03-C04";"RF-03";"No se duplican órdenes preventivas activas";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"preventive.test.ts, preventive-cycle.test.ts, p12-concurrency.test.ts";"PreventiveMaintenance.test.tsx"
"RF03-C05";"RF-03";"Una condición crítica vencida puede restringir despacho";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"preventive-availability-alerts.test.ts";"PreventiveMaintenance.test.tsx"
"RF03-C06";"RF-03";"Despachador ve restricción operacional, no diagnóstico ni costos";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"preventive-availability-alerts.test.ts, p12-security.test.ts";"Journeys.test.tsx"
"RF04-C01";"RF-04";"Cada orden conserva bus, tipo, origen, responsable y estado";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-01: snapshot/lotes; privacidad y flujo tecnico";"work-order.test.ts";"WorkOrders.test.tsx"
"RF04-C02";"RF-04";"Cuando aplica conserva novedad, jornada y kilometraje técnico";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-01: snapshot/lotes; privacidad y flujo tecnico";"work-order.test.ts, prisma-integrity.test.ts";"WorkOrders.test.tsx"
"RF04-C03";"RF-04";"El Mecánico solo actualiza órdenes asignadas";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-01: snapshot/lotes; privacidad y flujo tecnico";"work-order.test.ts, p12-security.test.ts";"WorkOrders.test.tsx"
"RF04-C04";"RF-04";"El Administrador asigna, reasigna, devuelve o cierra";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-01: snapshot/lotes; privacidad y flujo tecnico";"work-order.test.ts";"WorkOrders.test.tsx"
"RF04-C05";"RF-04";"Despachador no accede a diagnóstico, actividades internas ni costos";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-01: snapshot/lotes; privacidad y flujo tecnico";"work-order.test.ts, p12-security.test.ts";"WorkOrders.test.tsx"
"RF04-C06";"RF-04";"El cierre conserva intervención, repuestos, kilometraje y disponibilidad final";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-01: snapshot/lotes; privacidad y flujo tecnico";"work-order.test.ts, report.test.ts";"WorkOrders.test.tsx, History.test.tsx"
"RF04-C07";"RF-04";"Mecánico recibe técnica pero ningún campo económico";"PASS";"REVALIDACION LOCAL - ver informe y limites";"ASTRA-01: snapshot/lotes; privacidad y flujo tecnico";"work-order.test.ts";"WorkOrders.test.tsx"
"RF05-C01";"RF-05";"Administrador gestiona repuestos, existencias, entradas, ajustes y compatibilidades";"PASS";"REVALIDACION LOCAL - ver informe y limites";"Suites backend/frontend/E2E locales del modulo; ver alcance en informe";"spare-part.test.ts";"SpareParts.test.tsx"
