"File","Lines"
"src/frontend/src\features\ordenes-trabajo\WorkOrderPage.tsx","2350"
"src/backend/src\work-orders\work-order.repository.ts","1909"
"src/frontend/src\features\repuestos\SparePartsPage.tsx","1847"
"src/frontend/src\features\novedades\NoveltyPage.tsx","1468"
"src/backend/src\work-orders\work-order.service.ts","1311"
"src/frontend/src\features\preventivo\PreventivePage.tsx","1262"
"src/frontend/src\features\historial\HistoryReportsPage.tsx","1055"
"src/backend/src\reports\report.repository.ts","774"
"src/backend/src\spare-parts\spare-part.repository.ts","773"
"src/frontend/src\features\flota\FleetPage.tsx","752"
"src/frontend/src\features\jornadas\JourneyPage.tsx","734"
"src/backend/src\alerts\alert.service.ts","731"
"src/backend/src\journeys\journey.service.ts","703"
"src/backend/src\preventive\preventive.service.ts","684"
"src/frontend/src\features\preventivo\PreventivePlansPanel.tsx","647"
"src/backend/src\fleet\fleet.service.ts","596"
"src/backend/src\reports\report.service.ts","537"
"src/frontend/src\features\flota\FleetCatalogPage.tsx","535"
"src/frontend/src\features\flota\BusFormPage.tsx","503"
"src/backend/src\novelties\novelty.service.ts","495"
"src/backend/src\spare-parts\spare-part.service.ts","493"
"src/backend/src\fleet\fleet.repository.ts","446"
"src/backend/src\novelties\novelty.repository.ts","437"
"src/backend/src\preventive\preventive.repository.ts","424"
"src/frontend/src\components\layout\AppShell.tsx","410"
"src/frontend/src\features\dashboard\DashboardPage.tsx","404"
"src/frontend/src\features\alertas\AlertsPage.tsx","386"
"src/backend/src\fleet\fleet-catalog.service.ts","287"
"src/backend/src\idempotency\idempotency.service.ts","275"
"src/frontend/src\features\ordenes-trabajo\work-order.types.ts","270"
"src/frontend/src\features\ordenes-trabajo\work-order.api.ts","270"
"src/backend/src\work-orders\work-order.types.ts","265"
"src/frontend/src\features\repuestos\spare-part.api.ts","260"
"src/frontend/src\features\historial\history.types.ts","253"
"src/backend/src\work-orders\work-order.controller.ts","215"
"src/backend/src\alerts\alert.repository.ts","211"
"src/frontend/src\features\preventivo\preventive.api.ts","207"
"src/backend/src\preventive\preventive-plan.service.ts","205"
"src/backend/src\alerts\alert.catalog.ts","201"
"src/backend/src\journeys\journey.repository.ts","200"
"src/frontend/src\App.tsx","194"
"src/backend/src\preventive\preventive-plan.repository.ts","181"
"src/frontend/src\components\ui\Icons.tsx","172"
"src/frontend/src\features\flota\fleet.api.ts","170"
"src/backend/src\work-orders\work-order.schemas.ts","170"
"src/backend/src\preventive\preventive-cycle.ts","168"
"src/backend/src\reports\report.types.ts","167"
"src/backend/src\preventive\preventive.schemas.ts","162"
"src/backend/src\preventive\preventive-reconciliation.ts","162"
"src/backend/src\spare-parts\spare-part.schemas.ts","160"
"src/backend/src\idempotency\idempotency.repository.ts","154"
"src/backend/src\fleet\fleet.routes.ts","150"
"src/backend/src\work-orders\work-order.routes.ts","143"
"src/backend/src\shared\http.ts","143"
"src/frontend/src\features\auth\LoginPage.tsx","143"
"src/backend/src\work-orders\dispatch-projection.ts","139"
"src/backend/src\preventive\preventive.classification.ts","134"
"src/backend/src\novelties\novelty.schemas.ts","132"
"src/frontend/src\features\preventivo\preventive.types.ts","132"
"src/frontend/src\features\ordenes-trabajo\DispatchWorkOrdersPage.tsx","127"
"src/backend/src\reports\report.schemas.ts","125"
"src/frontend/src\features\flota\fleet.types.ts","124"
"src/frontend/src\domain\labels.ts","120"
"src/frontend/src\features\repuestos\spare-part.types.ts","118"
"src/frontend/src\lib\api.ts","117"
"src/backend/src\spare-parts\spare-part.controller.ts","113"
"src/frontend/src\features\novedades\novelty.api.ts","113"
"src/backend/src\config\env.ts","112"
"src/frontend/src\features\auth\session.tsx","112"
"src/backend/src\availability\availability.policy.ts","110"
"src/frontend/src\features\preventivo\PreventiveRestrictionsPanel.tsx","110"
"src/backend/src\idempotency\idempotency.middleware.ts","110"
"src/backend/src\auth\token.service.ts","110"
"src/backend/src\mileage\mileage.repository.ts","109"
"src/backend/src\fleet\fleet.controller.ts","107"
"src/backend/src\preventive\preventive-plan.schemas.ts","107"
"src/backend/src\mileage\technical-mileage.ts","106"
"src/backend/src\spare-parts\compatibility.resolver.ts","106"
"src/backend/src\spare-parts\spare-part.types.ts","103"
"src/backend/src\preventive\preventive-restrictions.service.ts","101"
"src/backend/src\availability\availability.repository.ts","101"
"src/backend/src\novelties\novelty.types.ts","100"
"src/backend/src\auth\auth.service.ts","97"
"src/backend/src\fleet\fleet.schemas.ts","97"
"src/frontend/src\components\ui\useDialogFocus.ts","96"
"src/backend/src\journeys\journey.schemas.ts","95"
"src/frontend/src\features\novedades\novelty.types.ts","94"
"src/backend/src\security\rate-limit.service.ts","94"
"src/backend/src\fleet\fleet-catalog.controller.ts","93"
"src/backend/src\preventive\preventive.types.ts","93"
"src/frontend/src\features\historial\history.api.ts","89"
"src/frontend/src\features\jornadas\journey.types.ts","88"
"src/backend/src\fleet\fleet.types.ts","87"
"src/backend/src\spare-parts\compatibility.repository.ts","84"
"src/frontend/src\features\jornadas\journey.api.ts","84"
"src/backend/src\preventive\preventive.routes.ts","84"
"src/backend/src\fleet\fleet-catalog.schemas.ts","83"
"src/backend/src\novelties\novelty.controller.ts","81"
"src/backend/src\fleet\fleet-catalog.repository.ts","80"
"src/backend/src\journeys\journey.controller.ts","80"
"src/backend/src\auth\auth.middleware.ts","80"
"src/backend/src\auth\csrf.service.ts","75"
"src/backend/src\preventive\preventive.controller.ts","74"
"src/frontend/src\components\routing\RouteBoundary.tsx","74"
"src/backend/src\prisma\client.ts","74"
"src/backend/src\security\rate-limit.repository.ts","69"
"src/backend/src\app.ts","67"
"src/backend/src\journeys\journey.types.ts","67"
"src/backend/src\journeys\journey.routes.ts","65"
"src/frontend/src\components\ui\Drawer.tsx","65"
"src/backend/src\spare-parts\compatibility.service.ts","65"
"src/frontend/src\components\ui\Modal.tsx","62"
"src/backend/src\work-orders\work-order.state.ts","59"
"src/backend/src\spare-parts\spare-part.routes.ts","59"
"src/frontend/src\components\ui\Button.tsx","58"
"src/backend/src\novelties\novelty.routes.ts","57"
"src/backend/src\preventive\preventive-plan.controller.ts","57"
"src/frontend/src\components\ui\StatePanel.tsx","56"
"src/frontend/src\features\alertas\alert.types.ts","52"
"src/backend/src\reports\report.controller.ts","52"
"src/backend/src\audit\audit.service.ts","52"
"src/backend/src\auth\auth.repository.ts","49"
"src/backend/src\observability\logger.ts","45"
"src/backend/src\reports\report.routes.ts","44"
"src/backend/src\availability\availability.types.ts","44"
"src/backend/src\alerts\alert.controller.ts","43"
"src/backend/src\spare-parts\compatibility.controller.ts","43"
"src/backend/src\observability\readiness.ts","42"
"src/frontend/src\features\alertas\alert.api.ts","39"
"src/backend/src\alerts\alert.schemas.ts","38"
"src/backend/src\auth\auth.controller.ts","38"
"src/frontend/src\features\auth\ProtectedRoute.tsx","38"
"src/frontend/src\features\auth\session.context.ts","35"
"src/backend/src\server-lifecycle.ts","35"
