"archivo","requisito","escenario","rol","viewport","resultado","sha256"
"docs/p14/evidencias/P14_RNF02_LOGIN_390.png","RNF-02","Acceso adaptable en movil","PUBLICO","390x844","PASS","33798db52e19af742d00851ba2a905b89f1f2148d8f2732ad193552982c63e33"
"docs/p14/evidencias/P14_RNF02_LOGIN_1024.png","RNF-02","Acceso adaptable en portatil","PUBLICO","1024x768","PASS","29c9c5e2e7d84e48e46a2c4a11654cd57460ec63c00ed2c7e4a7329704096ac8"
"docs/p14/evidencias/P14_RNF02_LOGIN_1440.png","RNF-02","Acceso adaptable en escritorio","PUBLICO","1440x900","PASS","177da86beddb16b8d166bd8e4fa481ccc8463e2c688eb0d2dd3f724426c680a8"
"docs/p14/evidencias/P14_RF01_ADMIN_FLOTA_1440.png","RF-01","Consulta administrativa de flota","ADMINISTRADOR","1440x900","PASS","6be5a3aa80b975115b4448bf91df10e29ecc6617e03946f8987250d419afbe43"
"docs/p14/evidencias/P14_RF03_ADMIN_PREVENTIVO_1024.png","RF-03","Gestion de mantenimiento preventivo","ADMINISTRADOR","1024x768","PASS","8d7b11d492996033c275e9801b0fd0b4588dc2362f2c0ec5a3fa5db2518e754c"
"docs/p14/evidencias/P14_RF05_ADMIN_REPUESTOS_390.png","RF-05","Central de repuestos en movil","ADMINISTRADOR","390x844","PASS","ed3606d617d68664b95ce992262b836d694b26a898ea50f8fa19dc6a45d8ebc5"
"docs/p14/evidencias/P14_RF01_DESPACHADOR_JORNADAS_1440.png","RF-01","Coordinacion de jornadas operativas","DESPACHADOR","1440x900","PASS","cf7c7b977d8df60d273a34fbeba2f6d707a76fb41f91c9e849f04910f77eff3c"
"docs/p14/evidencias/P14_RF02_DESPACHADOR_NOVEDADES_1024.png","RF-02","Seguimiento operativo de novedades","DESPACHADOR","1024x768","PASS","1945c2d4d2fab99551239ff52dbfc83a8f35949a2e45a376f1b77458e2975845"
"docs/p14/evidencias/P14_RF04_DESPACHADOR_ORDENES_390.png","RF-04","Proyeccion operativa sin detalle tecnico","DESPACHADOR","390x844","PASS","65478ddf29486c161d9c49e7d7f07863ab5ca6a12a0337838458307f93815e73"
"docs/p14/evidencias/P14_RF04_MECANICO_ORDENES_1440.png","RF-04","Consulta de ordenes tecnicas asignadas","MECANICO","1440x900","PASS","a4f616676c046572ce08c26f604337a67431584f31d714d32a956d0efba30ea5"
"docs/p14/evidencias/P14_RF06_MECANICO_HISTORIAL_1024.png","RF-06","Antecedentes tecnicos autorizados","MECANICO","1024x768","PASS","60764e7ea30c1b51e6e7a166bd2a767391abc1d4beeead9e98e1bd4c1e63f390"
"docs/p14/evidencias/P14_RNF05_MECANICO_ALERTAS_390.png","RNF-05","Bandeja individual de alertas","MECANICO","390x844","PASS","e45881d80ebd5b4e28f76ea1ca608e2ac705cfa5d6601bfc439c035a23fc0735"
"docs/p14/evidencias/P14_RF02_CONDUCTOR_NOVEDADES_1440.png","RF-02","Reporte y seguimiento de novedades propias","CONDUCTOR","1440x900","PASS","dd1683f8f3aacd275006a6b3b7d16e854ddfb99ac7032234b75019a8f78f2084"
"docs/p14/evidencias/P14_RF01_CONDUCTOR_JORNADA_1024.png","RF-01","Consulta de jornada propia","CONDUCTOR","1024x768","PASS","48923e2cdd908c7bd1b3c569e4a847558ce2d7b0c188b7be0762f1c4e0f3af82"
"docs/p14/evidencias/P14_RF06_CONDUCTOR_HISTORIAL_390.png","RF-06","Historial autorizado de su bus","CONDUCTOR","390x844","PASS","45024d4fc4880e0fa215bb579e8f849b2f6091a5eb1cc843ab936ec6fa2c743a"
"docs/p14/evidencias/P14_RNF01_DESPACHADOR_ACCESO_DENEGADO_1440.png","RNF-01","Proteccion visible de ruta administrativa","DESPACHADOR","1440x900","PASS","f38b1f4e48915e13c85ede5a24fb255e78d47e957317249008a195f565ea1dd8"
